depth,age.cal.BP,Alnus,Anagallis tenella-type,Apiaceae,Asteraceae,Asteraceae subf. Carduoideae,Asteraceae subf. Cichorioideae,Betula,Brassicaceae,Calluna vulgaris,Caryophyllaceae (periporate excl. Paronychioideae),Centaurea nigra-type,Chenopodiaceae/Amaranthaceae,Corylus,Crassulaceae,Crataegus,Cyperaceae,Drosera intermedia,Empetrum nigrum,Equisetum,Ericales (tetrad),Filipendula,Fraxinus,Gentianella campestris-type,Hedera,Humulus/Cannabis,Hypericum,Lamiaceae,Lonicera periclymenum,Lotus-type,Melampyrum,Monolete fern spores,Myosotis-type,Osmunda regalis,Pinus,Plantago lanceolata-type,Poaceae,Polypodium,Potamogeton-type,Potentilla-type,Pteridium aquilinum,Quercus,Ranunculus acris-type,Rhinanthus-type,Rosaceae,Rubiaceae,Rumex acetosa-type,Salix,Scabiosa,Scrophularia-type,Sorbus-type,Sphagnum,Succisa-type,Tilia,Ulmus/Zelkova,Valeriana officinalis-type,Veronica-type
8.5,746,19,0,2,0,0,0,2,0,3,0,0,0,90,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,1,66,0,0,2,2,111,8,0,10,7,40,0,0,0,0,0,0,0,0,0,50,2,1,0,0,0
16.5,1360,8,0,1,1,0,0,3,0,7,0,0,1,36,0,0,35,0,0,0,0,2,2,0,0,0,0,0,0,0,0,14,0,1,1,12,149,3,0,20,9,20,1,0,0,3,0,0,0,0,0,45,5,0,0,0,0
24.5,1974,10,0,2,1,0,3,2,0,10,0,1,1,43,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,0,0,0,8,145,2,1,30,4,27,0,0,0,0,1,0,0,0,0,63,7,0,0,0,0
32.5,2594,22,0,2,0,0,0,1,0,6,0,0,0,93,0,1,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,42,1,0,2,1,113,6,0,13,0,36,2,0,0,1,3,1,0,0,2,52,3,1,2,0,0
37.5,2990,22,0,0,0,1,0,3,0,10,0,0,0,79,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,2,0,20,0,1,0,2,134,1,0,10,7,31,3,0,0,0,3,1,0,0,0,16,0,0,1,0,0
38.5,3070,14,0,2,0,1,0,10,0,12,0,0,0,63,0,0,7,0,0,0,1,0,4,0,0,0,0,0,0,1,0,15,0,4,1,3,154,3,0,9,4,36,0,0,0,0,3,4,0,0,0,24,2,0,0,0,0
39.5,3150,21,0,1,0,2,1,1,0,11,0,0,0,82,0,0,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,17,0,0,0,1,134,3,0,5,4,30,3,0,0,0,4,2,0,0,0,5,2,0,2,0,0
40.5,3231,16,0,1,2,2,1,3,0,13,0,0,0,68,1,0,12,0,0,0,2,0,1,0,0,0,0,0,0,0,1,24,2,1,1,1,117,2,0,12,3,33,2,0,0,0,5,6,0,0,0,18,0,2,0,0,0
41.5,3312,21,0,0,1,1,1,3,0,11,1,0,0,68,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,2,0,0,116,1,0,4,1,48,0,0,0,0,3,0,0,0,1,20,7,0,4,0,0
42.5,3394,29,0,0,0,0,0,4,0,9,0,1,0,80,0,0,5,0,0,0,1,0,3,0,0,0,0,0,0,1,0,28,0,1,2,4,120,2,0,7,1,41,0,0,0,0,0,2,0,0,1,19,3,0,2,0,2
43.5,3476,32,0,1,0,0,0,8,0,11,0,0,0,116,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,2,72,0,4,0,1,102,6,0,11,0,47,1,0,0,0,0,4,0,0,0,12,1,0,2,0,0
44.5,3559,29,0,4,0,0,0,5,0,3,0,0,0,124,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,1,4,83,0,9,1,0,53,3,0,4,4,44,1,0,0,0,0,8,0,0,0,20,2,3,1,0,0
45.5,3642,28,0,11,0,0,0,11,0,5,0,1,0,124,0,0,9,1,0,0,1,0,4,0,0,0,0,1,0,2,16,56,0,3,0,1,54,2,0,22,6,60,0,0,0,0,0,18,0,0,1,23,1,0,1,2,0
46.5,3726,12,6,26,0,0,0,2,0,6,0,0,0,110,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,3,22,71,0,6,0,1,32,4,0,10,3,48,0,0,0,0,0,18,0,0,6,10,0,0,1,5,2
47.5,3810,28,0,7,0,0,0,10,0,3,0,0,0,105,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,8,125,0,5,1,0,34,9,0,4,4,63,0,0,0,0,2,20,0,0,14,10,0,1,1,0,1
48.5,3895,32,0,5,0,0,0,16,0,6,0,0,0,93,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,7,80,1,3,0,2,61,0,0,7,7,64,0,0,0,0,0,7,0,0,1,34,1,1,2,0,0
49.5,3981,29,0,4,0,0,0,7,0,1,0,0,0,110,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,323,0,2,0,0,46,4,0,1,2,63,0,0,0,0,0,11,0,0,2,6,1,2,3,0,0
50.5,4067,28,0,2,0,0,0,6,0,2,0,0,0,98,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,1,0,0,99,2,0,0,10,59,1,0,0,0,1,7,0,1,0,16,2,0,1,2,1
51.5,4153,32,0,10,0,0,0,5,0,4,0,0,0,69,0,0,38,0,0,0,0,2,0,0,0,0,0,1,0,0,0,175,0,3,4,2,63,3,0,5,9,59,0,0,0,0,1,48,0,0,0,16,2,0,0,1,1
52.5,4241,24,1,5,0,0,0,1,0,5,0,1,1,75,0,0,49,0,0,0,0,4,1,0,0,0,0,0,0,4,0,133,0,3,1,0,67,7,0,3,4,51,1,0,0,0,0,36,0,0,0,28,2,0,0,0,0
53.5,4329,14,0,3,0,0,0,2,0,1,0,1,0,64,0,0,53,0,0,0,0,1,2,0,0,0,0,0,0,3,0,142,0,1,3,0,79,4,0,2,8,46,1,0,0,0,1,25,0,0,0,14,1,1,3,0,0
54.5,4417,9,0,1,1,0,0,7,0,3,1,0,0,127,0,0,28,0,0,0,0,1,1,0,0,0,0,1,0,1,0,256,0,2,3,0,52,4,0,4,4,38,2,0,0,0,3,10,0,0,0,15,5,2,1,0,0
55.5,4505,12,0,3,0,0,0,7,0,2,0,0,0,141,0,0,15,0,0,0,0,0,1,0,0,0,0,1,0,0,0,124,0,0,3,1,79,6,0,6,4,31,2,0,0,0,2,4,0,0,0,19,2,1,4,0,0
56.5,4594,12,0,6,0,0,0,7,0,1,1,0,0,127,0,0,31,0,0,0,0,1,1,0,0,0,0,0,1,0,1,193,2,0,0,0,50,11,0,5,5,29,2,0,1,0,0,10,0,1,0,9,1,1,9,0,0
57.5,4683,13,0,1,0,1,0,9,0,8,0,0,0,89,0,0,17,0,0,0,1,0,3,0,0,0,0,0,0,0,0,66,0,1,1,0,102,1,0,9,5,41,2,0,0,0,3,4,0,0,0,19,2,0,2,1,0
58.5,4772,18,0,1,0,0,0,8,0,8,0,1,0,99,0,0,17,0,0,0,1,0,2,0,0,0,0,0,0,0,0,111,0,3,0,0,99,2,0,10,2,33,0,0,0,0,1,2,0,0,0,13,3,1,1,0,0
59.5,4861,3,0,2,0,1,0,7,0,3,0,0,0,90,0,0,14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,192,0,0,2,0,130,4,0,6,8,30,3,0,0,0,0,0,0,0,0,10,4,0,3,0,0
60.5,4950,10,0,1,0,0,0,16,0,4,0,0,0,93,0,0,11,0,0,0,0,2,1,0,0,0,0,0,0,0,0,137,0,1,4,1,107,4,0,16,8,31,2,0,0,0,2,0,0,0,1,21,1,1,1,0,0
61.5,5039,7,0,1,0,1,0,10,1,3,0,0,0,87,0,0,24,0,0,0,0,1,1,0,1,0,0,0,0,1,0,131,0,1,1,0,118,4,0,10,10,36,3,0,0,0,0,0,0,0,0,14,4,0,5,0,0
62.5,5128,15,0,2,0,0,1,9,0,4,0,0,0,96,0,1,20,0,0,0,0,2,2,0,0,0,0,0,0,0,0,134,0,0,2,0,117,12,0,11,4,42,0,0,0,0,0,0,0,0,0,20,4,0,6,0,0
63.5,5216,20,0,1,0,0,0,16,0,6,0,0,1,102,0,0,23,0,0,0,1,2,1,0,0,0,0,2,1,1,0,84,0,0,2,0,95,4,0,12,8,30,0,0,0,0,0,0,0,0,0,5,3,1,2,0,0
64.5,5304,14,0,2,0,0,0,41,0,2,0,0,0,162,0,0,7,0,0,0,0,2,1,0,0,0,0,0,1,0,5,34,0,0,2,0,14,1,0,11,0,29,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0
73.5,6065,9,0,4,0,0,0,22,1,0,0,0,0,133,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,144,0,0,7,1,11,5,0,7,38,65,1,1,1,2,0,3,0,1,1,38,1,3,10,1,0
80.5,6595,11,0,4,0,0,0,40,0,1,0,0,2,143,0,0,6,0,0,0,0,2,1,0,0,0,0,1,0,0,1,134,0,0,3,0,14,6,1,1,1,60,0,0,1,0,0,0,0,0,0,34,0,1,8,0,0
88.5,7102,7,0,9,0,0,0,19,1,0,0,0,0,150,0,1,11,0,0,0,1,1,0,0,0,0,0,1,0,1,0,192,0,0,7,0,10,6,1,4,8,56,1,0,0,0,0,5,0,0,0,13,0,0,2,1,0
96.5,7506,7,0,2,1,0,1,14,0,0,0,0,0,162,0,0,18,0,0,1,2,3,4,1,0,0,0,1,0,0,0,198,0,0,5,0,18,10,0,1,9,51,0,0,0,0,1,2,0,0,0,12,0,0,6,0,0
104.5,7813,1,0,4,0,0,0,21,1,0,0,0,0,125,0,0,27,0,0,1,8,19,2,1,0,0,1,0,0,1,0,320,0,0,7,0,35,5,1,3,3,26,0,1,1,0,0,20,0,0,0,67,0,0,7,0,0
112.5,8033,1,0,1,1,0,0,13,0,0,0,0,3,106,1,0,45,0,0,0,0,15,1,0,0,0,0,2,0,0,0,513,0,0,10,0,33,8,0,0,4,40,2,0,1,1,0,13,0,0,0,0,0,0,11,0,0
120.5,8195,1,5,0,0,0,0,21,0,0,0,0,1,120,0,1,43,0,0,3,0,11,0,0,0,1,0,2,0,0,1,235,0,0,9,0,37,0,1,0,0,24,1,0,1,0,0,11,0,0,1,50,0,1,9,1,0
128.5,8336,5,7,2,0,1,0,24,0,1,0,0,0,111,1,0,32,0,4,0,5,6,0,1,0,0,2,0,0,2,2,188,0,0,8,0,39,2,0,2,0,28,3,0,0,1,3,14,2,3,2,39,1,0,4,2,0
