depth,age.cal.BP,Alnus glutinosa,Betula,Carpinus betulus,Corylus avellana type,Fraxinus excelsior,Picea,Pinus sylvestris,Quercus,Salix,Sorbus type,Tilia cordata,Ulmus,Cornus suecica,Juniperus communis,Hedera helix,Lonicera periclymenum,Vaccinium type,Calluna vulgaris,Poaceae,Achillea type,Apiaceae,Artemisia type,Brassicaceae,Caltha palustris type,Campanula type,Caryophyllaceae,Centaurea nigra,Chenopodiaceae,Circaea,Cirsium type,Cyperaceae,Epilobium type,Filipendula,Helianthemum,Hordeum type,Humulus lupulus,Hypericum perforatum type,Lactuceae,Lotus,Mentha type,Myosotis arvensis type,Persicaria bistorta type,Plantago coronopus,Plantago lanceolata,Plantago major/media,Polemonium caeruleum,Potentilla type,Ranunculus acris type,Rosaceae indet.,Rubiaceae,Rumex acetosa/acetosella,Sanguisorba officinalis,Saxifraga granulata type,Saxifraga oppositifolia type,Saxifraga stellaris type,Scrophularia type,Scutellaria type,Sedum,Solanum nigrum,Solidago virgaurea type,Stachys type,Succisa pratensis,Thalictrum,Trifolium type,Urtica dioica,Valeriana dioica,Sparganium erectum,Typha angustifolia,Botrychium lunaria,Hymenophyllum,Polypodium,Pteridium aquilinum,Pteropsida (monolete) undiff.,Selaginella selaginoides,Sphagnum,Thelyptris palustris
0,6896,183,1,0,39,1,1,8,28,4,0,0,3,0,0,1,1,0,2,113,0,1,0,6,0,0,2,1,0,0,5,71,0,0,0,2,0,0,11,0,0,0,0,0,3,1,0,0,2,0,0,2,0,0,0,0,0,0,4,0,8,1,1,0,0,0,0,0,0,0,0,61,16,227,0,0,0
8,6990,71,3,0,54,1,0,37,32,0,0,1,9,0,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,1,270,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,46,13,616,0,0,0
16,7084,72,11,0,70,0,0,39,30,1,0,1,4,0,0,2,0,0,0,15,0,0,0,0,0,0,2,0,0,0,0,235,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,167,13,516,0,1,0
24,7179,57,0,0,35,1,0,49,30,2,0,4,5,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,302,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,97,20,810,0,0,0
32,7273,197,0,0,78,2,0,5,43,7,0,3,6,0,0,0,0,0,0,8,0,5,0,1,0,0,0,0,1,0,0,133,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,21,9,497,0,1,0
40,7367,187,2,0,44,1,0,18,51,1,0,2,12,0,0,1,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,170,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,98,1,204,0,0,0
48,7462,234,3,0,69,0,0,12,74,3,0,1,11,0,0,0,1,0,0,12,0,1,0,0,1,0,2,0,1,0,0,77,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,27,1,142,0,0,0
56,7556,125,5,0,84,2,0,28,61,3,0,1,5,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,172,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,74,6,339,0,0,0
58,7580,184,4,1,77,4,0,20,54,2,0,1,18,1,0,0,0,0,0,4,0,1,0,2,2,0,0,0,0,0,0,117,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,53,5,341,0,1,0
60,7603,184,4,0,79,0,0,7,40,3,0,4,12,0,0,0,0,0,0,2,0,2,0,0,0,2,1,0,1,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,6,494,0,0,0
62,7627,26,8,0,210,1,0,41,39,5,0,0,9,0,0,1,0,0,0,9,0,1,0,1,0,0,0,0,0,0,0,146,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,48,4,496,0,1,0
64,7650,12,0,0,101,1,0,21,25,4,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,8,1,843,0,0,0
72,7745,9,8,0,106,0,0,30,25,6,0,0,10,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,298,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,22,3,357,0,0,0
80,7839,2,2,0,42,0,0,29,20,5,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,376,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,2,773,0,0,0
88,7933,1,4,0,67,0,0,47,37,33,0,0,17,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,272,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4,1,242,0,0,0
96,8026,2,9,0,216,0,0,24,35,3,0,2,28,0,0,1,0,0,0,38,0,1,0,1,1,0,0,0,0,0,0,132,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,18,312,0,0,0
104,8118,1,6,0,93,0,0,46,28,1,0,0,14,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,645,0,0,0
112,8210,2,3,0,37,0,0,31,19,7,0,1,8,0,0,0,0,0,0,24,0,1,0,4,0,0,0,0,1,0,0,359,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,5,2,0,0,9,5,544,0,0,0
120,8301,3,0,0,51,0,0,116,20,2,0,0,10,0,0,1,0,0,0,23,0,3,0,0,0,0,0,0,1,0,0,248,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,3,0,0,17,2,1870,0,0,0
128,8391,0,4,0,38,0,0,39,17,5,0,0,5,0,0,0,0,0,0,10,0,1,0,1,3,0,0,0,0,0,0,120,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,77,0,0,0
136,8481,1,4,0,121,0,0,81,35,8,0,0,25,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,2,200,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,27,2,377,0,25,0
140,8526,0,2,0,156,0,0,84,25,8,0,0,9,0,0,1,0,0,0,18,0,0,0,1,0,0,0,1,1,0,0,180,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,6,0,1,0,0,0,0,0,0,0,0,15,0,67,0,1,1
144,8572,1,12,0,147,0,0,47,46,19,0,0,21,0,0,2,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,157,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,0,3,0,0,12,0,0,0,0,0,0,2,0,0,16,0,83,0,6,0
160,8759,1,8,0,188,3,0,41,37,19,0,0,12,0,0,0,0,1,0,7,0,0,0,3,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,9,6,71,0,3,0
168,8856,1,12,0,242,0,0,41,28,23,0,0,28,0,0,1,0,0,0,5,0,1,0,0,1,0,0,0,1,0,0,98,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,23,1,128,0,0,0
176,8954,1,17,0,193,0,0,33,44,5,0,0,30,0,0,0,0,0,0,14,0,0,0,6,0,0,0,0,0,0,1,48,0,80,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,8,0,4,0,0,0,0,0,1,0,0,0,1,7,1,243,1,2,0
184,9053,1,4,0,272,0,0,53,32,23,0,0,20,0,0,0,0,0,1,11,0,1,0,1,2,0,0,0,0,0,1,74,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,16,0,95,0,0,0
192,9154,0,14,0,187,0,0,17,23,34,0,0,17,0,0,1,0,0,0,3,0,1,0,5,0,0,0,0,0,0,0,96,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,38,0,3,0
208,9360,1,4,0,171,0,0,59,21,2,0,0,29,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,41,0,18,0
216,9464,3,0,0,159,0,0,19,18,2,0,0,23,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,1,0,1,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,0,32,0,0,0
224,9570,1,7,2,193,1,0,52,23,12,0,0,17,2,0,0,0,0,1,19,0,0,0,1,0,0,0,0,0,0,0,140,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,1,102,0,9,0
232,9677,0,7,0,240,0,0,30,18,12,2,0,16,0,0,0,1,0,0,24,0,2,0,0,0,0,0,0,0,0,0,136,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,33,0,2,0
240,9785,0,3,0,167,0,0,47,2,36,0,0,12,0,0,0,0,0,0,24,0,0,0,1,0,0,0,0,0,0,0,102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,54,0,1,0
248,9893,0,3,0,225,0,0,67,17,50,0,0,21,0,0,0,0,0,0,29,0,2,0,2,0,0,0,0,1,0,0,64,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,4,0,3,0,1,0,0,0,0,0,0,3,1,89,0,9,1
256,10002,0,12,0,121,0,0,52,1,8,0,0,10,0,0,0,0,0,0,92,0,1,0,0,0,0,0,0,1,0,1,184,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,211,0,7,0
264,10112,0,4,0,131,0,0,27,3,7,0,0,2,0,0,0,0,0,0,33,0,1,0,0,1,0,0,0,0,0,1,264,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,43,0,1,5
272,10223,0,15,3,211,0,0,75,0,8,0,0,5,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,1,0,0,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,234,0,0,0
280,10334,0,10,0,164,0,0,20,3,38,0,0,3,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,241,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,13,0,0,0
288,10445,0,19,0,104,0,0,23,0,27,0,0,0,1,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,241,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
296,10557,1,5,1,249,0,0,59,3,2,0,0,4,0,2,0,0,0,0,22,0,1,0,1,3,0,0,0,2,0,0,135,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,5,0,0,0
304,10669,0,9,0,64,0,0,29,0,7,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0
312,10781,0,25,0,198,0,0,79,1,25,0,1,1,0,0,0,0,1,0,26,0,2,0,1,0,0,0,0,1,0,0,119,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,1,0,0,0,0,0,0,0,0,0,109,0,3,0
314,10810,3,6,0,181,0,0,152,6,15,0,0,1,0,0,0,0,0,0,26,0,0,1,1,0,0,0,0,1,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,177,0,1,0
316,10838,0,13,0,116,0,0,169,0,15,0,0,2,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,2,0,0,146,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,166,0,0,0
318,10866,0,21,0,75,0,0,110,4,12,0,0,0,1,0,0,0,0,0,15,0,1,0,1,0,0,0,0,0,0,1,246,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,192,0,1,0
320,10894,0,24,0,23,0,0,287,0,18,0,0,0,0,0,0,0,0,0,74,0,0,1,2,0,0,1,0,2,0,4,55,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,288,0,11,0
328,11006,0,5,0,10,0,0,20,0,4,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,1,0,0
336,11118,4,60,1,54,0,0,143,0,30,0,0,0,0,1,0,0,0,0,90,0,1,0,2,0,0,0,0,2,0,0,92,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,2,0,0,0,3,0,1,0,0,1,0,422,0,3,0
344,11231,0,11,0,13,0,0,88,0,19,0,0,0,0,4,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,1,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,282,1,1,0
352,11343,1,17,0,4,0,0,203,0,57,0,0,0,0,22,0,0,0,0,34,0,0,1,0,0,0,0,0,0,0,0,77,0,14,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,2,0,1,0,0,0,2,0,0,0,0,0,0,55,0,0,0
360,11455,0,8,0,0,0,0,15,0,332,0,0,0,0,3,0,0,3,0,57,0,0,0,0,0,0,0,0,1,0,0,11,0,48,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,2,0,5,0,2,0,0,0,1,0,0,0,0,2,0,10,0,0,0
368,11567,1,7,0,0,0,0,21,0,5,0,0,0,1,10,0,0,1,4,68,1,1,0,0,0,0,1,0,5,1,0,272,1,54,1,1,0,0,1,1,0,0,0,0,0,0,0,7,1,0,5,3,3,1,0,1,0,0,4,0,2,0,0,1,0,0,16,0,11,0,0,0,0,4,0,0,0
376,11680,1,8,0,0,0,0,70,3,54,0,0,0,0,4,0,0,1,0,44,0,0,0,0,0,0,1,0,1,0,0,149,0,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,1,0,6,0,2,2,0,0,1,0,0,0,0,4,0,8,0,0,0
384,11792,0,4,0,0,0,0,13,0,98,0,0,0,0,13,0,0,3,0,180,0,0,1,0,0,1,0,0,0,0,0,61,28,70,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,4,0,0,0,0,0,0,0,3,4,0,0,2,0,0,6,0,17,0,0,0,0,3,0,0,0
392,11904,0,2,0,0,0,0,17,3,6,0,0,0,0,3,0,0,0,0,53,0,0,1,0,0,0,2,0,0,0,0,155,0,6,0,0,0,0,1,2,0,0,0,0,0,0,1,4,1,0,10,4,0,3,1,0,0,0,0,0,6,0,0,0,0,0,23,0,0,0,0,0,0,27,0,0,0
400,12016,0,7,0,0,0,0,37,0,8,0,0,0,0,12,0,0,2,0,108,0,0,11,0,0,24,21,0,1,0,1,139,0,6,8,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,115,0,0,2,1,0,0,0,0,1,0,3,0,6,0,0,1
416,12241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,5,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
