depth,age.cal.BP,Abies,Acer campestris,Alnus,Betula,Fagus,Fraxinus,Juglans,Pinus,Quercus,Sorbus,Tilia,Ulmus,Corylus,Juniperus,Salix,Crataegus,Hedera,Ilex,Lonicera,Ericaceae,Calluna,Poaceae,Hordeum,Avena/Triticum,Secale,Cyperaceae,Anthemis,Apiaceae,Artemisia,Asteraceae,Brassicaceae,Campanula,Cardueae,Centaurea,Caryophyllaceae,Chenopodiaceae,Drosera,Epilobium,Filipendula,Galium,Gentianella,Humulus,Hydrocotyle,Hypericum,Hypericum,Lamium,Lactuceae,Mentha,Menyanthes,Montia,Myosotis,Papaver,Plantago lanc.,Potentilla\i,Rumex acetosa,Rumex sanguinea,Ranunculus,Rhinanthus,Rubus,Scrophularia,Sedum,Stachys,Succisa,Trifolium,Urtica,Valeriana,Valerianella,Viola,Equisetum,Potamogeton,Sparganium,Typha,Hymenophyllum,Polypodium,Pteridium,Pterosida,Sphagnum,,,,,,,,,,,
40.0 ,67.0 ,0.0 ,2.0 ,0.0 ,0.0 ,15.0 ,2.0 ,0.0 ,21.0 ,26.0 ,0.0 ,0.0 ,3.0 ,4.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,29.0 ,142.0 ,0.0 ,4.0 ,0.0 ,164.0 ,0.0 ,0.0 ,0.0 ,1.0 ,6.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,8.0 ,0.0 ,0.0 ,1.0 ,0.0 ,52.0 ,0.0 ,0.0 ,0.0 ,7.0 ,0.0 ,1.0 ,0.0 ,3.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,3.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,4.0 ,2.0 ,1.0 ,23.0 ,,,,,,,,,,,
44.0 ,76.0 ,1.0 ,0.0 ,1.0 ,1.0 ,3.0 ,1.0 ,0.0 ,15.0 ,18.0 ,0.0 ,0.0 ,3.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,36.0 ,129.0 ,0.0 ,4.0 ,0.0 ,218.0 ,1.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,1.0 ,0.0 ,1.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,17.0 ,0.0 ,0.0 ,6.0 ,0.0 ,23.0 ,0.0 ,1.0 ,1.0 ,14.0 ,1.0 ,0.0 ,0.0 ,4.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,4.0 ,0.0 ,0.0 ,0.0 ,0.0 ,12.0 ,2.0 ,2.0 ,60.0 ,,,,,,,,,,,
48.0 ,87.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,2.0 ,0.0 ,8.0 ,14.0 ,3.0 ,0.0 ,1.0 ,4.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,31.0 ,155.0 ,0.0 ,4.0 ,0.0 ,201.0 ,1.0 ,0.0 ,0.0 ,1.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,32.0 ,0.0 ,0.0 ,3.0 ,1.0 ,6.0 ,0.0 ,0.0 ,2.0 ,9.0 ,2.0 ,0.0 ,0.0 ,6.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,6.0 ,1.0 ,0.0 ,0.0 ,0.0 ,8.0 ,5.0 ,4.0 ,171.0 ,,,,,,,,,,,
52.0 ,100.0 ,0.0 ,0.0 ,5.0 ,1.0 ,2.0 ,1.0 ,0.0 ,18.0 ,19.0 ,1.0 ,0.0 ,1.0 ,5.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,3.0 ,28.0 ,181.0 ,0.0 ,4.0 ,0.0 ,177.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,35.0 ,0.0 ,0.0 ,4.0 ,0.0 ,12.0 ,0.0 ,0.0 ,0.0 ,16.0 ,0.0 ,1.0 ,0.0 ,5.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,6.0 ,1.0 ,0.0 ,0.0 ,0.0 ,10.0 ,2.0 ,3.0 ,83.0 ,,,,,,,,,,,
56.0 ,114.0 ,0.0 ,0.0 ,4.0 ,3.0 ,0.0 ,0.0 ,0.0 ,9.0 ,16.0 ,1.0 ,0.0 ,1.0 ,3.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,17.0 ,116.0 ,1.0 ,4.0 ,0.0 ,257.0 ,3.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,9.0 ,0.0 ,0.0 ,11.0 ,0.0 ,20.0 ,0.0 ,0.0 ,0.0 ,15.0 ,0.0 ,0.0 ,0.0 ,4.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,3.0 ,0.0 ,0.0 ,0.0 ,0.0 ,9.0 ,6.0 ,6.0 ,105.0 ,,,,,,,,,,,
60.0 ,130.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,1.0 ,0.0 ,3.0 ,18.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,16.0 ,111.0 ,0.0 ,0.0 ,0.0 ,225.0 ,0.0 ,1.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,55.0 ,0.0 ,0.0 ,34.0 ,0.0 ,21.0 ,0.0 ,0.0 ,1.0 ,8.0 ,0.0 ,0.0 ,0.0 ,2.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,8.0 ,1.0 ,0.0 ,0.0 ,0.0 ,2.0 ,4.0 ,4.0 ,71.0 ,,,,,,,,,,,
64.0 ,148.0 ,0.0 ,0.0 ,3.0 ,1.0 ,5.0 ,0.0 ,0.0 ,3.0 ,6.0 ,0.0 ,0.0 ,0.0 ,3.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,26.0 ,126.0 ,1.0 ,2.0 ,1.0 ,237.0 ,1.0 ,0.0 ,1.0 ,1.0 ,0.0 ,0.0 ,2.0 ,2.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,32.0 ,0.0 ,0.0 ,1.0 ,0.0 ,14.0 ,0.0 ,0.0 ,2.0 ,15.0 ,1.0 ,0.0 ,1.0 ,9.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,5.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,1.0 ,0.0 ,0.0 ,0.0 ,15.0 ,5.0 ,8.0 ,48.0 ,,,,,,,,,,,
68.0 ,169.0 ,0.0 ,0.0 ,6.0 ,0.0 ,2.0 ,1.0 ,0.0 ,7.0 ,22.0 ,0.0 ,0.0 ,2.0 ,8.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,44.0 ,129.0 ,6.0 ,3.0 ,0.0 ,216.0 ,1.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,4.0 ,3.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,15.0 ,0.0 ,0.0 ,9.0 ,0.0 ,3.0 ,0.0 ,0.0 ,0.0 ,6.0 ,2.0 ,0.0 ,1.0 ,4.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,3.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,1.0 ,0.0 ,0.0 ,0.0 ,61.0 ,10.0 ,8.0 ,117.0 ,,,,,,,,,,,
72.0 ,193.0 ,2.0 ,0.0 ,2.0 ,2.0 ,5.0 ,0.0 ,0.0 ,6.0 ,18.0 ,0.0 ,0.0 ,0.0 ,5.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,29.0 ,127.0 ,1.0 ,2.0 ,0.0 ,212.0 ,1.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,1.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,49.0 ,2.0 ,0.0 ,7.0 ,0.0 ,6.0 ,0.0 ,0.0 ,0.0 ,7.0 ,0.0 ,0.0 ,1.0 ,5.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,4.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,4.0 ,10.0 ,4.0 ,189.0 ,,,,,,,,,,,
76.0 ,220.0 ,0.0 ,0.0 ,3.0 ,0.0 ,1.0 ,0.0 ,0.0 ,3.0 ,33.0 ,1.0 ,0.0 ,1.0 ,10.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,2.0 ,20.0 ,168.0 ,4.0 ,2.0 ,2.0 ,157.0 ,3.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,3.0 ,0.0 ,1.0 ,0.0 ,1.0 ,0.0 ,0.0 ,1.0 ,1.0 ,0.0 ,0.0 ,23.0 ,0.0 ,1.0 ,6.0 ,0.0 ,12.0 ,0.0 ,1.0 ,2.0 ,15.0 ,4.0 ,3.0 ,0.0 ,11.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,11.0 ,17.0 ,4.0 ,337.0 ,,,,,,,,,,,
80.0 ,252.0 ,0.0 ,0.0 ,2.0 ,2.0 ,1.0 ,0.0 ,0.0 ,1.0 ,18.0 ,0.0 ,1.0 ,2.0 ,3.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,1.0 ,1.0 ,41.0 ,153.0 ,4.0 ,7.0 ,14.0 ,157.0 ,2.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,2.0 ,0.0 ,0.0 ,0.0 ,13.0 ,0.0 ,0.0 ,20.0 ,0.0 ,32.0 ,1.0 ,1.0 ,1.0 ,5.0 ,3.0 ,0.0 ,1.0 ,5.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,3.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,35.0 ,15.0 ,2.0 ,58.0 ,,,,,,,,,,,
84.0 ,287.0 ,0.0 ,0.0 ,8.0 ,1.0 ,1.0 ,0.0 ,0.0 ,1.0 ,30.0 ,0.0 ,0.0 ,0.0 ,20.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,39.0 ,210.0 ,9.0 ,3.0 ,11.0 ,106.0 ,2.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,2.0 ,3.0 ,6.0 ,0.0 ,0.0 ,5.0 ,0.0 ,5.0 ,0.0 ,0.0 ,3.0 ,11.0 ,5.0 ,2.0 ,1.0 ,7.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,1.0 ,0.0 ,0.0 ,13.0 ,41.0 ,2.0 ,51.0 ,,,,,,,,,,,
88.0 ,328.0 ,1.0 ,0.0 ,7.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,27.0 ,0.0 ,0.0 ,1.0 ,3.0 ,0.0 ,1.0 ,1.0 ,0.0 ,0.0 ,0.0 ,2.0 ,46.0 ,179.0 ,4.0 ,3.0 ,8.0 ,159.0 ,1.0 ,0.0 ,0.0 ,1.0 ,3.0 ,1.0 ,2.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,1.0 ,0.0 ,2.0 ,0.0 ,0.0 ,9.0 ,0.0 ,6.0 ,0.0 ,0.0 ,6.0 ,14.0 ,6.0 ,3.0 ,0.0 ,3.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,6.0 ,0.0 ,0.0 ,0.0 ,14.0 ,39.0 ,7.0 ,86.0 ,,,,,,,,,,,
92.0 ,374.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,1.0 ,0.0 ,0.0 ,35.0 ,0.0 ,0.0 ,0.0 ,9.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,14.0 ,213.0 ,4.0 ,2.0 ,10.0 ,118.0 ,1.0 ,0.0 ,0.0 ,0.0 ,3.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,11.0 ,14.0 ,20.0 ,5.0 ,6.0 ,2.0 ,22.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,17.0 ,1.0 ,0.0 ,0.0 ,1.0 ,60.0 ,6.0 ,370.0 ,,,,,,,,,,,
96.0 ,427.0 ,0.0 ,0.0 ,11.0 ,2.0 ,3.0 ,0.0 ,0.0 ,0.0 ,51.0 ,0.0 ,0.0 ,0.0 ,9.0 ,0.0 ,1.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,17.0 ,121.0 ,10.0 ,5.0 ,10.0 ,182.0 ,1.0 ,1.0 ,0.0 ,0.0 ,2.0 ,0.0 ,4.0 ,0.0 ,2.0 ,0.0 ,0.0 ,1.0 ,1.0 ,1.0 ,2.0 ,0.0 ,0.0 ,10.0 ,0.0 ,0.0 ,1.0 ,0.0 ,8.0 ,0.0 ,0.0 ,12.0 ,12.0 ,0.0 ,1.0 ,3.0 ,9.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,6.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,3.0 ,0.0 ,0.0 ,0.0 ,29.0 ,16.0 ,14.0 ,31.0 ,,,,,,,,,,,
